id,district_code,office_name
1,101,Taplejung
2,109,Panchthar
3,110,Ilam
4,111,Jhapa-Ka
5,111,Jhapa-Kha
6,112,Morang-Ka
7,112,Morang-Kha
8,113,Sunsari-Ka
9,113,Sunsari-Kha
10,107,Dhankuta
11,108,Terhathum
12,102,Sankhuwasabha
13,106,Bhojpur
14,103,Solukhumbu
15,104,Okhaldhunga
16,105,Khotang
17,114,Udayapur
18,201,Saptari
19,202,Siraha
20,203,Dhanusa
21,204,Mahottari
22,205,Sarlahi
23,311,Sindhuli
24,310,Ramechhap
25,301,Dolakha
26,302,Sindhupalchok
27,309,Kavrepalanchok
28,308,Lalitpur-Ka
29,308,Lalitpur-Kha
30,307,Bhaktapur
31,306,Kathmandu-Ka
32,306,Kathmandu-Kha
33,306,Kathmandu-Ga
34,306,Kathmandu-Gha
35,306,Kathmandu-Nha
36,305,Nuwakot
37,303,Rasuwa
38,304,Dhading
39,312,Makwanpur
40,206,Rautahat
41,207,Bara
42,208,Parsa
43,313,Chitawan
44,401,Gorkha
45,406,Lamjung
46,407,Tanahu
47,409,Syangja
48,405,Kaski
49,402,Manang
50,403,Mustang
51,404,Myagdi
52,410,Parbat
53,411,Baglung
54,504,Gulmi
55,506,Palpa
56,408,Nawalparasi (East)
57,507,Nawalparasi (West)
58,508,Rupandehi-Ka
59,508,Rupandehi-Kha
60,509,Kapilbastu
61,505,Arghakhanchi
62,503,Pyuthan
63,502,Rolpa
64,501,Rukum (East)
65,608,Rukum (West)
66,609,Salyan
67,510,Dang
68,511,Banke
69,512,Bardiya
70,610,Surkhet
71,606,Dailekh
72,607,Jajarkot
73,601,Dolpa
74,604,Jumla
75,605,Kalikot
76,602,Mugu
77,603,Humla
78,701,Bajura
79,702,Bajhang
80,707,Achham
81,706,Doti
82,708,Kailali-Ka
83,708,Kailali-Kha
84,709,Kanchanpur
85,705,Dadeldhura
86,704,Baitadi
87,703,Darchula
